p
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 2, Name: Andrew Tate})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 3, Name: Ann Coulter})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 4, Name: B.J. Novak})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 5, Name: Balaji Srinivasan})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 6, Name: Ben Shapiro})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 7, Name: Bronze Age Pervert})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 8, Name: Callicles})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 9, Name: Costin Alamariu})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 10, Name: Curtis Yarvin})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 11, Name: Danielle Lee Tomson})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 12, Name: Darren Beattie})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 13, Name: David Marchese})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 14, Name: Donald Trump})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 15, Name: Edward Luttwak})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 16, Name: Gavin McInnes})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 17, Name: Herbert Yarvin})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 18, Name: J.D. Vance})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 19, Name: Jack Butler})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 20, Name: Jair Bolsonaro})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 21, Name: Jennifer Kollmer})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 22, Name: Joe Rogan})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 23, Name: John Krasinski})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 24, Name: Jordan Peterson})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 25, Name: Josh Hawley})"
"(:Person {Id: 1, Name: Curtis Yarvin})-[:CONNECTED_WITH]->(:Person {Id: 26, Name: Kathy Gilsinan})"
